Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
698e60cb9a6aed73882dc514,65e00891e4c0c8cad9c1583a,RETURNED,Not Applicable,2026-02-12T23:23:04.241000Z,,,2026-02-13T15:06:22.431120Z,,,4307,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
698e60f052c20935bce14936,676213c42b2ea1a4506bdf1c,RETURNED,Not Applicable,2026-02-12T23:23:37.599000Z,,,2026-02-13T15:06:22.437535Z,,,1494,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
698e612bcf67069b61c9f3e1,6781935f0fbff63cc8eb3595,RETURNED,Not Applicable,2026-02-12T23:24:32.834000Z,,,2026-02-13T15:06:22.437182Z,,,3721,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
698e6156be2aa159c612cabf,5beb92fbe0a3940001543d8c,RETURNED,Not Applicable,2026-02-12T23:25:36.692000Z,,,2026-02-13T15:06:22.433499Z,,,5273,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
698e6192c1905ab6b83a7f47,66e89b61d7709ff7f27a76be,RETURNED,Not Applicable,2026-02-12T23:26:15.395000Z,,,2026-02-13T15:06:22.435593Z,,,2095,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
698e61b79989ef0782e93ac9,612cd21ab53f52338b7b4f19,RETURNED,Not Applicable,2026-02-12T23:26:52.548000Z,,,2026-02-13T15:06:22.439851Z,,,5511,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
698e61e2a6db5b1b6a19f039,67301111865cf8fa81ac7897,RETURNED,Not Applicable,2026-02-12T23:28:04.116000Z,,,2026-02-13T15:06:22.441009Z,,,4666,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
698e626b2c17b0350419f649,67e04fb6a0a0f7c68d0cb905,RETURNED,Not Applicable,2026-02-12T23:29:53.200000Z,,,2026-02-13T15:06:22.441364Z,,,1204,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
698e62ca2c17b0350419f65e,6797d5ada6654ec99f741b08,RETURNED,Not Applicable,2026-02-12T23:31:27.793000Z,,,2026-02-13T15:06:22.452197Z,,,4205,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
698e62ecfa7b2d016f4a3b40,5e976f67be609822f1146463,RETURNED,Not Applicable,2026-02-12T23:32:02.145000Z,,,2026-02-13T15:06:22.437494Z,,,8429,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
698e630b6a54f6985dcd790e,67e188720841b364cd463eaa,RETURNED,Not Applicable,2026-02-12T23:32:39.152000Z,,,2026-02-13T15:06:22.442721Z,,,4270,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
698e633775a05ff0b0b58562,69612c8d7d50cf2f11a27025,RETURNED,Not Applicable,2026-02-12T23:33:15.706000Z,,,2026-02-13T15:06:22.437664Z,,,268,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
